"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Adin Mtn","301	","California","SNOTEL","Modoc","6190","41.23583","-120.79192","180200021403	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"920",,"5","5","4","2","95","2","22","2nd Highest",,,"0.22","0","0","3","2018, 2019, 2020, more","2011","23"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8900","37.52217","-112.27118","160300020301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","23"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,,"0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","7"
"Albro Lake","916	","Montana","SNOTEL","Madison","8300","45.59723","-111.95902","100200050701	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","17",,,"59","61","28","24","24","-11","33","17","8",,,,"28.84","28","0","85","2001","2011","25"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","160","61.74967","-150.88967","190205051106	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","6"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","80",,,"153","138","54","71","63","22","75","5","13",,,,"52.41","58","0","112","2015, 2016, 2019, more","2011","17"
"Althouse","1239	","California","SNOLITE","Del Norte","4970","41.99617","-123.547","171003110302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","7"
"American Beauty","1198	","Nevada","SNOLITE","Elko","7545","40.53373","-115.45768","160401030901	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"143",,"2","3","3","1","89","2","9","2nd Highest",,,"0.7","0","0","6","2017, 2019, 2020, more","2018","10"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1050","64.78969","-141.23376","190705050504	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","9"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1653","59.85972","-151.315","190203010701	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","93","2","1","Lowest",,,"0.25","0","0","4","2019, 2020, 2021, more","2013","16"
"Anchorage Hillside","1070	","Alaska","SNOTEL","Anchorage","2080","61.11483","-149.66683","190204010601	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","87","3","1","Lowest",,,"0.25","0","0","3","2019, 2020, 2021, more","2012","16"
"Anchorage Wscmo AP","0280	","Alaska","ACIS","Anchorage","110","61.16666","-150.01666","190204010808	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","68"
"Aneroid Lake #2","302	","Oregon","SNOTEL","Wallowa","7400","45.21328","-117.19258","170601050101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"43.3","45","0","80","2001","2010","20"
"Aniak","2065	","Alaska","SNOTEL","Bethel","80","61.58337","-159.57708","190305020504	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"900",,"3","5","5","1","100","1","9","Highest",,,"0.11","0","0","1","2018, 2019, 2020, more","2021","9"
"Annie Springs","1000	","Oregon","SNOTEL","Klamath","6010","42.87007","-122.16518","180102030101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"36.15","30.5","0","109","2014, 2015, 2018, more","2011","20"
"Anthony Lake","1245	","Oregon","SNOLITE","Baker","7160","44.9591","-118.22668","170502030503	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"11","14","0","26","2015, 2016, 2018","2014","7"
"Apishapa","303	","Colorado","SNOTEL","Huerfano","10000","37.33062","-105.06749","110200060406	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","94","2","1","Lowest",,,"0.17","0","0","3","2019, 2020, 2021, more","2009","18"
"Arapaho Ridge","1030	","Colorado","SNOTEL","Grand","10960","40.35098","-106.35098","140100010604	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","22",,,"64","76","31","28","28","-7","39","12","6",,,,"34.53","29","0","84","2012","2011","19"
"Arbuckle Mtn","304	","Oregon","SNOTEL","Morrow","5770","45.19085","-119.25392","170702020604	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"1.53","0","0","26","2018, 2019, 2020, more","2011","17"
"Ash Valley","2214	","California","SCAN","Lassen","5097","41.05204","-120.6872","180200021404	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,,"0","0","0","100","1","1",,,,"0","0","0","0","2016, 2017, 2021, more","2016, 2017, 2021, more","4"
"Ashley Divide","1165	","Montana","SNOLITE","Flathead","4820","48.20161","-114.51495","170102080108	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"400",,"4","3","3","1","100","1","4","Highest",,,"0.25","0","0","1","2018, 2019, 2020","2021","4"
"Atigun Pass","957	","Alaska","SNOTEL","North Slope","4800","68.12983","-149.47817","190802010102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","43",,,"179","165","86","87","82","17","92","2","11","2nd Highest",,,"24","26","0","47","2010, 2011, 2015","2018","13"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7580","43.7569","-115.23907","170501110204	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"5","7","1","1","1","-13","33","17","8",,,,"18.76","14","0","62","2013, 2015, 2018, more","1998","25"
"Azure","1E08P	","British Columbia","Cooperator Snow Sensors","	","5331","52.58333","-119.71667","	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","61",,,"115","107","46","53","55","4","72","6","14",,,,"52.89","57","26","82","2016","1999","19"
"Badger Pass","307	","Montana","SNOTEL","Pondera","6900","48.13088","-113.02317","100302010201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","42",,,"99","108","51","47","46","3","57","10","13",,,,"42.41","39","0","107","2000","2011","22"
"Baker Butte","308	","Arizona","SNOTEL","Gila","7300","34.4566","-111.40643","150602030206	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","86","3","1","Lowest",,,"0.27","0","0","3","2019, 2020, 2021, more","2004","15"
"Baker Butte Smt","1140	","Arizona","SNOTEL","Coconino","7700","34.45547","-111.38272","150602030103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","10"
"Bald Mtn AM","1240	","Nevada","SNOLITE","Washoe","6720","41.78333","-119.61667","160402040101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019","2018, 2019","2"
"Bald Mtn AM OR","447	","Oregon","SNOLITE","Union","6700","45.21158","-117.6626","170601040504	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"16","16","15","17","2020","2019","2"
"Bald Mtn.","309	","Wyoming","SNOTEL","Big Horn","9380","44.8007","-107.84442","100800100501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","35",,,"88","99","52","47","50","-0.5","47","10","9",,,,"39.61","35.5","0","103","2006","2011","18"
"Baldy","310	","Arizona","SNOTEL","Apache","9125","33.97883","-109.50344","150200010203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"1,900",,"13","4","6","2","100","1","19","Highest",,,"0.11","0","0","2","2018, 2019, 2020, more","2021","19"
"Banfield Mountain","311	","Montana","SNOTEL","Lincoln","5600","48.5712","-115.44573","170101011202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","68","7","1","Lowest",,,"5.05","0","0","39","2019, 2020, 2021, more","2011","20"
"Banner Summit","312	","Idaho","SNOTEL","Boise","7040","44.30342","-115.23447","170501200202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0","0","0","0","0","-4","47","11","1","Lowest",,,"9.9","4","0","50","2018, 2020, 2021, more","2011","20"
"Bar M","1212	","Arizona","SNOTEL","Coconino","6393","34.86136","-111.60503","150602020601	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","9"
"Barker Lakes","313	","Montana","SNOTEL","Deer Lodge","8250","46.09713","-113.13038","170102010304	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","33",,,"92","97","61","52","54","-1","44","11","9",,,,"35.79","34","19","72","2007","2011","19"
"Barkerville","1A03P	","British Columbia","Cooperator Snow Sensors","	","4865","53.05","-121.48333","	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","57","7","1","Lowest",,,"1.93","0","0","16","2019, 2020, 2021, more","2011","15"
"Barney Creek","1246	","Oregon","SNOLITE","Baker","5830","44.36069","-118.31114","170502020202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","8"
"Barrow WSO Airport","0546	","Alaska","ACIS","North Slope","30","71.3","-156.78333","190602020203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"3.72","3","0","25","2015, 2016, 2019, more","1923","89"
"Base Camp","314	","Wyoming","SNOTEL","Teton","7060","43.94019","-110.44544","170401010304	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"800",,"3","3","3","2","100","1","8","Highest",,,"0.25","0","0","2","2018, 2019, 2020, more","2021","8"
"Basin Creek","315	","Montana","SNOTEL","Silver Bow","7180","45.79737","-112.52047","170102010201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","76","5","1","Lowest",,,"3.11","0","0","30","2019, 2020, 2021, more","2011","18"
"Bassoo Peak","1190	","Montana","SNOLITE","Sanders","5150","47.85562","-114.75841","170102120105	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","4"
"Bateman","316	","New Mexico","SNOTEL","Rio Arriba","9300","36.51174","-106.31543","130201020901	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","82","4","1","Lowest",,,"0.22","0","0","2","2019, 2020, 2021, more","2008","18"
"Battle Creek AM","1295	","Idaho","SNOLITE","Owyhee","5720","42.47694","-116.32576","170501040905	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","4"
"Battle Mountain","317	","Wyoming","SNOTEL","Carbon","7440","41.05413","-107.26609","140500030109	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.46","0","0","4","2018, 2019, 2020, more","2006","13"
"Beagle Springs","318	","Montana","SNOTEL","Beaverhead","8850","44.47147","-112.98191","100200010501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","71","6","1","Lowest",,,"3.78","0","0","33","2018, 2020, 2021, more","2011","18"
"Bear Basin","319	","Idaho","SNOTEL","Adams","5350","44.95222","-116.14293","170602100104	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","80","5","1","Lowest",,,"2.52","0","0","33","2018, 2020, 2021, more","2011","21"
"Bear Canyon","320	","Idaho","SNOTEL","Custer","7900","43.74367","-113.93797","170402180101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","70","4","1","Lowest",,,"1.55","0","0","8","2018, 2020, 2021, more","2017","11"
"Bear Creek","321	","Nevada","SNOTEL","Elko","8040","41.83384","-115.45278","170501020301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","58","6","1","Lowest",,,"12.85","0","0","65","2018, 2020, 2021, more","2011","13"
"Bear Flat Meadow AM","1291	","Oregon","SNOLITE","Lake","6580","42.41655","-120.47043","171200060105	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","4"
"Bear Grass","1166	","Oregon","SNOTEL","Linn","4720","44.3253","-122.0938","170900040203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","28",,,"153","329","20","24","23","19.5","78","3","8",,,,"18.3","8.5","0","65","2015, 2016, 2018, more","2017","10"
"Bear Lake","322	","Colorado","SNOTEL","Larimer","9500","40.31176","-105.6467","101900060201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","15",,,"89","91","22","22","22","-1.5","47","9","7",,,,"16.88","16.5","0","61","2012, 2018, 2020, more","2011","16"
"Bear Mountain","323	","Idaho","SNOTEL","Bonner","5400","48.30577","-116.07448","170102131202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","23",,,"37","34","19","16","16","-44","11","17","2","2nd Lowest",,,"62.37","67","0","133","2015","2011","19"
"Bear River","1061	","Colorado","SNOTEL","Routt","9080","40.06153","-107.00955","140500010102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"3.19","0","0","20","2017, 2018, 2020, more","2019","16"
"Bear River RS","992	","Utah","SNOTEL","Summit","8777","40.8852","-110.8277","160101010106	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.6","0","0","6","2018, 2019, 2020, more","2011","10"
"Bear Saddle","324	","Idaho","SNOTEL","Washington","6180","44.60533","-116.98097","170501241001	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","8"
"Bear Trap Meadow","325	","Wyoming","SNOTEL","Johnson","8200","43.88743","-107.06135","100902010205	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","88","3","1","Lowest",,,"1.61","0","0","28","2019, 2020, 2021, more","2011","18"
"Beartooth Lake","326	","Wyoming","SNOTEL","Park","9360","44.94307","-109.56743","100700060206	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","49",,,"90","98","71","58","58","-1","47","10","9",,,,"54.33","50","33","89","2007","2011","18"
"Beartown","327	","Colorado","SNOTEL","Mineral","11600","37.71409","-107.51212","130100010104	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"9.56","0.5","0","67","2016, 2018, 2020, more","2019","18"
"Beaver Ck Village","1041	","Colorado","SNOTEL","Eagle","8500","39.59917","-106.51142","140100030301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","76","5","1","Lowest",,,"0.22","0","0","1","2018, 2020, 2021, more","2008, 2009, 2019, more","18"
"Beaver Creek","328	","Montana","SNOTEL","Gallatin","7850","44.94966","-111.35852","100200070402	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","17",,,"91","94","35","26","27","-1","44","11","7",,,,"18.74","18","0","53","2005, 2015","2011","19"
"Beaver Dams","329	","Utah","SNOTEL","Sanpete","7990","39.13683","-111.55813","160300040402	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"1,700",,"3","2","3","1","100","1","17","Highest",,,"0.06","0","0","1","2018, 2019, 2020, more","2021","17"
"Beaver Divide","330	","Utah","SNOTEL","Summit","8280","40.61233","-111.09782","160202030105	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.84","0","0","16","2018, 2019, 2020, more","2011","19"
"Beaver Head","902	","Arizona","SNOTEL","Greenlee","7990","33.69144","-109.21657","150601010107	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","89","3","1","Lowest",,,"0.1","0","0","1","2019, 2020, 2021, more","2006, 2009","20"
"Beaver Pass","990	","Washington","SNOTEL","Whatcom","3630","48.8793","-121.2555","171100050605	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","49",,,"126","123","41","44","43","9","74","6","15",,,,"38.95","40","0","82","2005, 2015","2012","20"
"Beaver Reservoir","331	","Oregon","SNOTEL","Union","5150","45.14532","-118.219","170601040301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","17"
"Beaver Spring","1143	","Arizona","SNOTEL","Apache","9200","36.32678","-109.05711","140802040401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","11"
"Ben Lomond Peak","332	","Utah","SNOTEL","Weber","7689","41.37603","-111.94405","160201020302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","52","12","1","Lowest",,,"13.42","0","0","83","2018, 2020, 2021, more","2011","24"
"Ben Lomond Trail","333	","Utah","SNOTEL","Weber","5972","41.38291","-111.92103","160201020302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","95","2","1","Lowest",,,"0.1","0","0","2","2019, 2020, 2021, more","2011","20"
"Berry Creek","334	","Nevada","SNOTEL","White Pine","9377","39.31917","-114.62278","160600081301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"15.14","0","0","79","2015, 2018, 2020, more","2011","22"
"Berthoud Summit","335	","Colorado","SNOTEL","Grand","11300","39.80392","-105.77789","140100010202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","21",,,"74","78","31","28","27","-6","35","12","6",,,,"28.56","27","0","74","2012, 2018","2011","18"
"Bettles FAA Airport","0761	","Alaska","ACIS","Yukon-Koyukuk","640","66.91666","-151.51666","190901012604	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.01","0","0","1","2018, 2019, 2020, more","1964","70"
"Bettles Field","1182	","Alaska","SNOTEL","Yukon-Koyukuk","640","66.91667","-151.53333","190901012604	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"1,000",,"3","3","3","1","100","1","10","Highest",,,"0.1","0","0","1","2018, 2019, 2020, more","2021","10"
"Bevans Cabin","1214	","Utah","SNOTEL","Tooele","6520","40.46182","-112.25233","160203040401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","9"
"Big Bend","336	","Nevada","SNOTEL","Elko","6898","41.76168","-115.6931","170501040104	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","21"
"Big Creek Sum","337	","Nevada","SNOTEL","Lander","8685","39.29148","-117.11506","160401070303	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","10",,,"105",,"14","16","15","10","76","5","14",,,,"9.56","0","0","48","2017, 2018, 2020, more","2011","18"
"Big Creek Summit","338	","Idaho","SNOTEL","Valley","6560","44.62621","-115.79561","170602080402	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"5","6","1","1","1","-15","35","14","7",,,,"20.05","16","0","71","2013, 2015, 2018, more","2011","21"
"Big Flat","339	","Utah","SNOTEL","Beaver","10349","38.30183","-112.35672","160300070202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","2",,,"6","6","3","3","3","-29","8","23","3",,,,"31.6","31","0","92","2000, 2018","2019","25"
"Big Goose","931	","Wyoming","SNOTEL","Sheridan","7990","44.57924","-107.20068","100901010103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"5.5","0","0","44","2016, 2018, 2020, more","2011","22"
"Big Meadow","340	","Nevada","SNOTEL","Washoe","8235","39.455","-119.9422","160501020505	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"9.36","0","0","42","2016, 2018, 2020, more","2011","14"
"Big Red Mountain","341	","Oregon","SNOTEL","Jackson","6050","42.05257","-122.85487","171003090301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"11.8","2.5","0","76","2015, 2018, 2020, more","2011","20"
"Big Sandy Opening","342	","Wyoming","SNOTEL","Sublette","9080","42.6458","-109.25965","140401040101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","79","5","1","Lowest",,,"3.4","0","0","41","2018, 2020, 2021, more","2011","20"
"Big Sheep AM","1229	","Oregon","SNOLITE","Wallowa","6240","45.16842","-117.08631","170601020301	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"4.88","0","0","25","2016, 2018, 2020, more","2017","8"
"Bigelow Camp","343	","Oregon","SNOTEL","Josephine","5130","42.07875","-123.34393","171003090105	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","94","2","1","Lowest",,,"0.53","0","0","9","2019, 2020, 2021, more","2011","17"
"Billie Creek Divide","344	","Oregon","SNOTEL","Klamath","5280","42.40717","-122.26617","180102030201	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0.94","0","0","14","2018, 2019, 2020, more","2011","18"
"Bird Creek","1155	","Nevada","SNOTEL","White Pine","7537","39.46138","-114.64863","160600081304	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","9"
"Bison Lake","345	","Colorado","SNOTEL","Garfield","10880","39.76487","-107.35681","140100011401	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","27",,,"64","60","39","25","26","-18","26","18","5",,,,"42.21","45","2","113","2002","2011","24"
"Bisson Creek","346	","Montana","SNOTEL","Lake","4920","47.68389","-113.99901","170102120602	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","94","2","1","Lowest",,,"0.05","0","0","1","2019, 2020, 2021, more","2011","19"
"Black Bear","347	","Montana","SNOTEL","Gallatin","8170","44.50832","-111.12803","100200070202	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","28",,,"47","48","27","23","24","-30","11","25","4",,,,"59.36","58","2","120","2007","2011","28"
"Black Flat-U.M. Ck","348	","Utah","SNOTEL","Sevier","9414","38.6799","-111.59765","140700030101	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","21"
"Black Mesa","1185	","Colorado","SNOTEL","Dolores","11580","37.78972","-108.18365","140300020103	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","22",,,"52","47","33","29","31","-25","38","6","4",,,,"42.33","47","0","99","2018","2019","9"
"Black Mountain","1161	","Colorado","SNOTEL","Larimer","8920","40.888","-105.66397","101900070501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"79",,"1","2","2","1","80","3","9",,,,"1.27","0","0","11","2017, 2018, 2020, more","2011","11"
"Black Pine","349	","Montana","SNOTEL","Granite","7210","46.414","-113.43095","170102020203	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","95","2","1","Lowest",,,"1.1","0","0","22","2019, 2020, 2021, more","2011","20"
"Blackhall Mtn","1119	","Wyoming","SNOTEL","Carbon","9820","41.05616","-106.71384","101800020504	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","17",,,"40","39","18","16","17","-27","18","10","3",,,,"42.5","44","0","106","2012","2011","12"
"Blacks Fork Jct","1162	","Utah","SNOTEL","Summit","8869","40.95814","-110.5828","140401070303	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"1.6","0","0","16","2018, 2019, 2020, more","2011","10"
"Blacktail Mtn","1144	","Montana","SNOTEL","Flathead","5650","47.98288","-114.3543","170102080302	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","1",,,"46",,"3","2","2","1","90","2","10","2nd Highest",,,"2.18","0","0","23","2018, 2019, 2020, more","2011","11"
"Blackwall Peak","2G03P	","British Columbia","Cooperator Snow Sensors","	","6345","49.08333","-120.76667","170200070205	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","40",,,"120","114","39","44","44","5","78","5","14",,,,"33.37","35","0","76","2005","2011","19"
"Blackwater","350	","Wyoming","SNOTEL","Park","9780","44.37667","-109.79333","100800120209	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","45",,,"77","87","65","49","51","-7","29","11","5",,,,"58.07","52","28","106","2007","2011","15"
"Blazed Alder","351	","Oregon","SNOTEL","Clackamas","3650","45.4287","-121.85605","170800010102	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,"0",,"0","0","0","0","50","12","1","Lowest",,,"14.39","0","0","71","2019, 2020, 2021, more","2011","23"
"Blewett Pass","352	","Washington","SNOTEL","Chelan","4240","47.35037","-120.6796","170200110501	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT",,,,,,,,,,,,,,,,"0","0","0","0","2018, 2019, 2020, more","2018, 2019, 2020, more","21"
"Blind Bull Sum","353	","Wyoming","SNOTEL","Sublette","8650","42.964","-110.60973","140401010402	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","24",,,"67","75","33","28","28","-8","32","14","6",,,,"35.8","32","0","86","2001","2011","20"
"Blind Park","354	","South Dakota","SNOTEL","Pennington","6890","44.10772","-103.97688","101201100104	","May 29, 2021, end of day ","5-30-2021, 07:51 PM MDT","0",,,,,"0","0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","18"
